team_id,full_name,abbreviation,nickname,city,state,year_founded
1610612737,Atlanta Hawks,Atl,Hawks,Atlanta,Atlanta,1949
1610612738,Boston Celtics,Bos,Celtics,Boston,Massachusetts,1946
1610612739,Cleveland Cavaliers,Cle,Cavaliers,Cleveland,Ohio,1970
1610612740,New Orleans Pelicans,Nop,Pelicans,New Orleans,Louisiana,2002
1610612741,Chicago Bulls,Chi,Bulls,Chicago,Illinois,1966
1610612742,Dallas Mavericks,Dal,Mavericks,Dallas,Texas,1980
1610612743,Denver Nuggets,Den,Nuggets,Denver,Colorado,1976
1610612744,Golden State Warriors,Gsw,Warriors,Golden State,California,1946
1610612745,Houston Rockets,Hou,Rockets,Houston,Texas,1967
1610612746,Los Angeles Clippers,Lac,Clippers,Los Angeles,California,1970
1610612747,Los Angeles Lakers,Lal,Lakers,Los Angeles,California,1948
1610612748,Miami Heat,Mia,Heat,Miami,Florida,1988
1610612749,Milwaukee Bucks,Mil,Bucks,Milwaukee,Wisconsin,1968
1610612750,Minnesota Timberwolves,Min,Timberwolves,Minnesota,Minnesota,1989
1610612751,Brooklyn Nets,Bkn,Nets,Brooklyn,New York,1976
1610612752,New York Knicks,Nyk,Knicks,New York,New York,1946
1610612753,Orlando Magic,Orl,Magic,Orlando,Florida,1989
1610612754,Indiana Pacers,Ind,Pacers,Indiana,Indiana,1976
1610612755,Philadelphia 76Ers,Phi,76Ers,Philadelphia,Pennsylvania,1949
1610612756,Phoenix Suns,Phx,Suns,Phoenix,Arizona,1968
1610612757,Portland Trail Blazers,Por,Trail Blazers,Portland,Oregon,1970
1610612758,Sacramento Kings,Sac,Kings,Sacramento,California,1948
1610612759,San Antonio Spurs,Sas,Spurs,San Antonio,Texas,1976
1610612760,Oklahoma City Thunder,Okc,Thunder,Oklahoma City,Oklahoma,1967
1610612761,Toronto Raptors,Tor,Raptors,Toronto,Ontario,1995
1610612762,Utah Jazz,Uta,Jazz,Utah,Utah,1974
1610612763,Memphis Grizzlies,Mem,Grizzlies,Memphis,Tennessee,1995
1610612764,Washington Wizards,Was,Wizards,Washington,District Of Columbia,1961
1610612765,Detroit Pistons,Det,Pistons,Detroit,Michigan,1948
1610612766,Charlotte Hornets,Cha,Hornets,Charlotte,North Carolina,1988
