team_id,abbreviation,nickname,year_founded,city,arena,arena_capacity,owner,generalmanager,headcoach,dleagueaffiliation,facebook,instagram,twitter
1610612737,Atl,Hawks,1949,Atlanta,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Quin Snyder,College Park Skyhawks,https://www.facebook.com/hawks,https://instagram.com/atlhawks,https://twitter.com/atlhawks
1610612741,Chi,Bulls,1966,Chicago,United Center,21711.0,Michael Reinsdorf,Arturas Karnisovas,Billy Donovan,Windy City Bulls,https://www.facebook.com/chicagobulls,https://instagram.com/chicagobulls,https://twitter.com/chicagobulls
1610612742,Dal,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Nico Harrison,Jason Kidd,Texas Legends,https://www.facebook.com/dallasmavs,https://instagram.com/dallasmavs,https://twitter.com/dallasmavs
1610612743,Den,Nuggets,1976,Denver,Ball Arena,,Stan Kroenke,Calvin Booth,Michael Malone,Grand Rapids Gold,https://www.facebook.com/denvernuggets,https://instagram.com/nuggets,https://twitter.com/nuggets
1610612744,Gsw,Warriors,1946,Golden State,Chase Center,,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors,https://www.facebook.com/warriors,https://instagram.com/warriors,https://twitter.com/warriors
1610612745,Hou,Rockets,1967,Houston,Toyota Center,18104.0,Tilman Fertitta,Rafael Stone,Ime Udoka,Rio Grande Valley Vipers,https://www.facebook.com/houstonrockets,https://instagram.com/houstonrockets,https://twitter.com/houstonrockets
1610612746,Lac,Clippers,1970,Los Angeles,Crypto.Com Arena,19060.0,Steve Ballmer,Michael Winger,Tyronn Lue,Agua Caliente Clippers Of Ontario,https://www.facebook.com/laclippers,https://instagram.com/laclippers,https://twitter.com/laclippers
1610612747,Lal,Lakers,1948,Los Angeles,Crypto.Com Arena,19060.0,Jeanie Buss,Rob Pelinka,Darvin Ham,South Bay Lakers,https://www.facebook.com/losangeleslakers,https://instagram.com/lakers,https://twitter.com/lakers
1610612748,Mia,Heat,1988,Miami,Kaseya Center,19600.0,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce,https://www.facebook.com/miamiheat,https://instagram.com/miamiheat,https://twitter.com/miamiheat
1610612749,Mil,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Adrian Griffin,Wisconsin Herd,https://www.facebook.com/milwaukeebucks,https://instagram.com/bucks,https://twitter.com/bucks
1610612750,Min,Timberwolves,1989,Minnesota,Target Center,19356.0,Glen Taylor,Tim Connelly,Chris Finch,Iowa Wolves,https://www.facebook.com/mntimberwolves,https://instagram.com/timberwolves,https://twitter.com/timberwolves
1610612751,Bkn,Nets,1976,Brooklyn,Barclays Center,,Joe Tsai,Sean Marks,Jacque Vaughn,Long Island Nets,https://www.facebook.com/brooklynnets,https://instagram.com/brooklynnets,https://twitter.com/brooklynnets
1610612754,Ind,Pacers,1976,Indiana,Gainbridge Fieldhouse,18345.0,Herb Simon,Kevin Pritchard,Rick Carlisle,Fort Wayne Mad Ants,https://www.facebook.com/pacers,https://instagram.com/pacers,https://twitter.com/pacers
1610612755,Phi,76Ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris & David Blitzer,Elton Brand,Nick Nurse,Delaware Blue Coats,https://www.facebook.com/sixers,https://instagram.com/sixers,https://twitter.com/sixers
1610612756,Phx,Suns,1968,Phoenix,Footprint Center,,Mat Ishbia,James Jones,Frank Vogel,No Affiliate,https://www.facebook.com/suns,https://instagram.com/suns,https://twitter.com/suns
1610612757,Por,Trail Blazers,1970,Portland,Moda Center,19980.0,Jody Allen,Joe Cronin,Chauncey Billups,No Affiliate,https://www.facebook.com/trailblazers,https://instagram.com/trailblazers,https://twitter.com/trailblazers
1610612758,Sac,Kings,1948,Sacramento,Golden 1 Center,17500.0,Vivek Ranadive,Monte Mcnair,Mike Brown,Stockton Kings,https://www.facebook.com/sacramentokings,https://instagram.com/sacramentokings,https://twitter.com/sacramentokings
1610612759,Sas,Spurs,1976,San Antonio,At&T Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs,https://www.facebook.com/spurs,https://instagram.com/spurs,https://twitter.com/spurs
1610612760,Okc,Thunder,1967,Oklahoma City,Paycom Center,,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue,https://www.facebook.com/okcthunder,https://instagram.com/okcthunder,https://twitter.com/okcthunder
1610612761,Tor,Raptors,1995,Toronto,Scotiabank Arena,,Lawrence Tanenbaum,Masai Ujiri,,Raptors 905,https://www.facebook.com/torontoraptors,https://instagram.com/raptors,https://twitter.com/raptors
1610612762,Uta,Jazz,1974,Utah,Delta Center,,Ryan Smith,Justin Zanik,Will Hardy,Salt Lake City Stars,https://www.facebook.com/utahjazz,https://instagram.com/utahjazz,https://twitter.com/utahjazz
1610612763,Mem,Grizzlies,1995,Memphis,Fedexforum,18119.0,Robert Pera,Zach Kleiman,Taylor Jenkins,Memphis Hustle,https://www.facebook.com/memphisgrizzlies,https://instagram.com/memgrizz,https://twitter.com/memgrizz
1610612764,Was,Wizards,1961,Washington,Capital One Arena,20647.0,Ted Leonsis,Tommy Sheppard,Wes Unseld,Capital City Go-Go,https://www.facebook.com/wizards,https://instagram.com/washwizards,https://twitter.com/washwizards
1610612765,Det,Pistons,1948,Detroit,Little Caesars Arena,,Tom Gores,Ed Stefanski,Monty Williams,Motor City Cruise,https://www.facebook.com/detroitpistons,https://instagram.com/detroitpistons,https://twitter.com/detroitpistons
1610612766,Cha,Hornets,1988,Charlotte,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,Steve Clifford,Greensboro Swarm,https://www.facebook.com/hornets,https://instagram.com/hornets,https://twitter.com/hornets
