game_id,official_id,full_name,jersey_num
20300590,1662,Bill Kennedy,55
20300590,1146,Tony Brothers,25
20300590,1161,Joe Forte,45
20300607,2002,Derrick Collins,54
20300607,1167,Steve Javie,29
20300607,1185,Violet Palmer,12
20300605,1142,Dick Bavetta,27
20300605,1165,Luis Grillo,8
20300605,2529,Tony Brown,68
20300623,1163,Bernie Fryer,7
20300623,1143,Gary Benson,30
20300623,1160,Nolan Fine,11
20300635,1144,Ted Bernhardt,16
20300635,1204,Derek Richardson,63
20300635,1164,Ron Garretson,10
20300647,1192,Bennett Salvatore,15
20300647,1826,Jess Kersey,20
20300647,1198,Scott Wall,31
20300703,2147,Michael Henderson,62
20300703,1199,Tom Washington,49
20300703,1186,Blane Reichelt,37
20300752,2529,Tony Brown,68
20300752,1188,Leroy Richardson,51
20300752,1200,Greg Willard,57
20300775,1163,Bernie Fryer,7
20300775,1662,Bill Kennedy,55
20300775,1174,Ken Mauer,41
20300789,1156,Tim Donaghy,21
20300789,1363,Bennie Adams,47
20300789,1153,Joe Crawford,17
20300866,1154,Bob Delaney,26
20300866,1195,Derrick Stafford,9
20300866,1159,Kevin Fehr,39
20300876,1164,Ron Garretson,10
20300876,2529,Tony Brown,68
20300876,1827,George Toliver,23
20300910,1200,Greg Willard,57
20300910,1156,Tim Donaghy,21
20300910,2529,Tony Brown,68
20300989,1147,Mike Callahan,24
20300989,1162,Scott Foster,48
20300989,2001,Jason Phillips,67
20301008,1662,Bill Kennedy,55
20301008,1190,Eddie Rush,32
20301008,1179,Rodney Mott,71
20301011,1161,Joe Forte,45
20301011,1176,Monty McCutchen,13
20301011,2003,Pat Fraher,52
20301018,1174,Ken Mauer,41
20301018,1160,Nolan Fine,11
20301018,2147,Michael Henderson,62
20301048,1179,Rodney Mott,71
20301048,1180,Jack Nies,35
20301048,1143,Gary Benson,30
20301050,1363,Bennie Adams,47
20301050,1148,James Capers,19
20301050,1142,Dick Bavetta,27
20301102,1143,Gary Benson,30
20301102,1144,Ted Bernhardt,16
20301102,1180,Jack Nies,35
20301171,1156,Tim Donaghy,21
20301171,1363,Bennie Adams,47
20301171,1142,Dick Bavetta,27
20400006,1174,Ken Mauer,41
20400006,2530,Ed Malloy,73
20400006,1200,Greg Willard,57
20400063,1204,Derek Richardson,63
20400063,1155,JB DeRosa,14
20400063,1203,Mark Wunderlich,18
20400079,1146,Tony Brothers,25
20400079,1167,Steve Javie,29
20400079,1159,Kevin Fehr,39
20400094,1200,Greg Willard,57
20400094,1143,Gary Benson,30
20400094,1179,Rodney Mott,71
20400131,1186,Blane Reichelt,37
20400131,2530,Ed Malloy,73
20400131,1154,Bob Delaney,26
20400133,2715,Eric Lewis,42
20400133,1195,Derrick Stafford,9
20400133,1147,Mike Callahan,24
20400197,1192,Bennett Salvatore,15
20400197,2529,Tony Brown,68
20400197,1662,Bill Kennedy,55
20400225,1180,Jack Nies,35
20400225,1185,Violet Palmer,12
20400225,2534,Zach Zarba,58
20400236,1156,Tim Donaghy,21
20400236,1180,Jack Nies,35
20400236,2878,Tommy Nunez Jr.,28
20400296,1192,Bennett Salvatore,15
20400296,1162,Scott Foster,48
20400296,2529,Tony Brown,68
20400322,2001,Jason Phillips,67
20400322,1163,Bernie Fryer,7
20400322,1168,David Jones,36
20400343,2534,Zach Zarba,58
20400343,1188,Leroy Richardson,51
20400343,1162,Scott Foster,48
20400361,1147,Mike Callahan,24
20400361,1201,Leon Wood,40
20400361,1148,James Capers,19
20400376,1168,David Jones,36
20400376,1163,Bernie Fryer,7
20400376,2715,Eric Lewis,42
20400384,2883,Robbie Robinson,53
20400384,1203,Mark Wunderlich,18
20400384,1155,JB DeRosa,14
20400457,2529,Tony Brown,68
20400457,1164,Ron Garretson,10
20400457,1662,Bill Kennedy,55
20400478,1152,Dan Crawford,43
20400478,1148,James Capers,19
20400478,1189,Phil Robinson,70
20400497,1147,Mike Callahan,24
20400497,2001,Jason Phillips,67
20400497,1194,Bill Spooner,22
20400510,1179,Rodney Mott,71
20400510,1154,Bob Delaney,26
20400510,2005,Matt Boland,46
20400529,1142,Dick Bavetta,27
20400529,2004,Courtney Kirkland,61
20400529,1186,Blane Reichelt,37
20400543,1192,Bennett Salvatore,15
20400543,1146,Tony Brothers,25
20400543,1159,Kevin Fehr,39
20400559,1189,Phil Robinson,70
20400559,1194,Bill Spooner,22
20400559,1147,Mike Callahan,24
20400563,1176,Monty McCutchen,13
20400563,1830,Marc Davis,34
20400563,1664,Gary Zielinski,59
20400583,1193,Michael Smith,38
20400583,2002,Derrick Collins,54
20400583,1199,Tom Washington,49
20400599,1363,Bennie Adams,47
20400599,1146,Tony Brothers,25
20400599,1200,Greg Willard,57
20400615,1176,Monty McCutchen,13
20400615,1830,Marc Davis,34
20400615,1161,Joe Forte,45
20400651,1826,Jess Kersey,20
20400651,2005,Matt Boland,46
20400651,1190,Eddie Rush,32
20400657,1150,Jimmy Clark,6
20400657,2148,Mark Ayotte,56
20400657,1201,Leon Wood,40
20400661,1826,Jess Kersey,20
20400661,1142,Dick Bavetta,27
20400661,2715,Eric Lewis,42
20400698,1180,Jack Nies,35
20400698,1204,Derek Richardson,63
20400698,1830,Marc Davis,34
20400693,1662,Bill Kennedy,55
20400693,2715,Eric Lewis,42
20400693,1154,Bob Delaney,26
20400729,1826,Jess Kersey,20
20400729,1152,Dan Crawford,43
20400729,1159,Kevin Fehr,39
20400754,1163,Bernie Fryer,7
